account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
clickadilla-sv,GB,galaksion,0.3547,1.3400,5207877,-0.9853,-73.53,27.0761,-5131.2899,USD,USD,USD
sv,BR,adsterra,0.4700,1.1576,7465110,-0.6876,-59.40,29.0900,-5133.0470,USD,USD,USD
onclicka-sv,MY,clickadu,0.2376,1.5179,4010856,-1.2803,-84.35,0.8410,-5135.0227,USD,USD,USD
onclicka-sv,PH,clickadu,0.0889,0.7361,7940363,-0.6473,-87.93,0.9995,-5139.4071,USD,USD,USD
clickadu-pub-nsd,CO,inhouseads,0.0918,0.3150,23042512,-0.2232,-70.85,2.1242,-5142.7748,USD,USD,USD
clickadilla-sv,ES,kadam,0.4234,0.7000,18605485,-0.2766,-39.52,29.7351,-5146.9071,USD,USD,USD
sv,BY,inhouseads,0.0100,1.4700,3525749,-1.4600,-99.32,0.0300,-5147.5935,USD,USD,USD
clickadu-pub-nsd,MX,adsterra,0.1925,1.2375,4932483,-1.0450,-84.44,15.9251,-5154.3208,USD,USD,USD
evadav-sv,EG,adsterra,0.0213,0.5753,9303433,-0.5540,-96.30,54.5540,-5154.4202,USD,USD,USD
clickadilla-sv,ZM,kadam,0.3950,2.0000,3214163,-1.6050,-80.25,2.0573,-5158.6225,USD,USD,USD
evadav-rss,JO,inhouseads,0.0500,0.6300,8899734,-0.5800,-92.06,0.1080,-5161.8457,USD,USD,USD
clickadilla-sv,SG,kadam,0.1697,0.5000,15636427,-0.3303,-66.05,1.5478,-5164.2017,USD,USD,USD
sv2,LK,kadam,0.4200,0.7000,18447978,-0.2800,-40.00,272.3600,-5165.4338,USD,USD,USD
mybid-pub-sv,CO,inhouseads,0.0907,0.3150,23042512,-0.2243,-71.20,0.7982,-5167.8447,USD,USD,USD
evadav-sv,CD,kadam,0.0426,0.9000,6031831,-0.8574,-95.26,0.3160,-5171.4200,USD,USD,USD
mybid-pub-sv,VE,kadam,0.0860,0.5000,12509000,-0.4140,-82.81,0.2034,-5179.1859,USD,USD,USD
evadav-rss,CD,kadam,0.0412,0.9000,6031831,-0.8588,-95.42,0.0310,-5179.9953,USD,USD,USD
sv2,MY,adsterra,0.4300,2.1261,3055954,-1.6961,-79.78,10.2600,-5183.2341,USD,USD,USD
propush-tb,NG,adsterra,0.5999,1.6417,4977769,-1.0418,-63.46,1258.5379,-5185.8049,USD,USD,USD
sv,VN,kadam,0.2800,0.4000,43232178,-0.1200,-30.00,32.9100,-5187.8614,USD,USD,USD
sv2,MZ,kadam,1.0000,2.9000,2730959,-1.9000,-65.52,4.2200,-5188.8221,USD,USD,USD
nsd,CH,kadam,0.3400,1.6000,4122202,-1.2600,-78.75,9.0700,-5193.9745,USD,USD,USD
propush-cpc,GR,inhouseads,0.5057,1.4700,5393091,-0.9643,-65.60,24.3357,-5200.5128,USD,USD,USD
evadav-sv,SG,kadam,0.1672,0.5000,15636427,-0.3328,-66.57,13.7590,-5204.1946,USD,USD,USD
onclicka-sv,HK,clickadu,0.1750,2.2367,2524883,-2.0618,-92.18,0.4329,-5205.7405,USD,USD,USD
nsd,CA,clickadu,0.5400,2.1660,3206359,-1.6260,-75.07,171.0000,-5213.5301,USD,USD,USD
clickadilla-sv,ES,inhouseads,0.4234,0.7350,16744936,-0.3116,-42.40,29.7351,-5218.2890,USD,USD,USD
nsd,HK,clickadu,0.1700,2.2367,2524883,-2.0667,-92.40,4.1500,-5218.2944,USD,USD,USD
sv2,ZA,adsterra,0.5900,2.4861,2753644,-1.8961,-76.27,83.0100,-5221.2835,USD,USD,USD
propush-tb,KG,kadam,0.7140,2.2000,3514898,-1.4860,-67.55,26.6674,-5223.2514,USD,USD,USD
