account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-nsd,GA,mybid,1.1777,0.0700,107285,1.1077,1582.44,30.1552,118.8402,USD,USD,USD
clickadu-pub-nsd,JO,mybid,0.5199,0.1600,325979,0.3599,224.97,7.8096,117.3351,USD,USD,USD
nsd,SG,mybid,0.2600,0.1300,902510,0.1300,100.00,4.0200,117.3263,USD,USD,USD
propush-nsd,MV,inhouseads,0.3828,0.2100,669693,0.1728,82.30,20.2925,115.7403,USD,USD,USD
clickadilla-sv,AU,mybid,0.5905,0.4800,1044723,0.1105,23.02,23.1039,115.4572,USD,USD,USD
propush-nsd,SY,galaksion,0.3076,0.1900,973125,0.1176,61.90,387.4195,114.4407,USD,USD,USD
propush-nsd,MM,mybid,1.8245,0.8400,115269,0.9845,117.20,1932.2948,113.4783,USD,USD,USD
propush-nsd,AZ,mybid,0.5755,0.2900,396907,0.2855,98.45,366.5011,113.3246,USD,USD,USD
propush-nsd,PY,mybid,0.5123,0.0500,241670,0.4623,924.52,59.5506,111.7140,USD,USD,USD
propush-nsd,IQ,mybid,0.2840,0.0800,546260,0.2040,254.96,1952.8091,111.4180,USD,USD,USD
sv2,KH,galaksion,0.6400,0.4700,654358,0.1700,36.17,160.6700,111.2409,USD,USD,USD
propush-nsd,TZ,mybid,0.2924,0.1100,608610,0.1824,165.79,358.3951,110.9909,USD,USD,USD
sv,SE,mybid,0.4700,0.1600,357560,0.3100,193.75,1.3600,110.8436,USD,USD,USD
sv,CL,mybid,0.2800,0.2400,2748002,0.0400,16.67,1.4100,109.9201,USD,USD,USD
propush-nsd,SL,inhouseads,0.7870,0.6300,696534,0.1570,24.92,94.2348,109.3477,USD,USD,USD
propush-nsd,DK,mybid,1.3808,0.6200,142914,0.7608,122.71,114.3770,108.7311,USD,USD,USD
propush-nsd,ZW,clickadu,3.8144,1.1729,41111,2.6415,225.20,1072.3443,108.5941,USD,USD,USD
clickadilla-sv,ES,mybid,0.4075,0.2700,785595,0.1375,50.93,46.7927,108.0294,USD,USD,USD
sv,BA,mybid,0.5400,0.1400,269290,0.4000,285.71,1.6100,107.7160,USD,USD,USD
clickadu-pub-nsd,PY,inhouseads,0.3608,0.3150,2324736,0.0458,14.53,0.2125,106.4287,USD,USD,USD
nsd,RE,kadam,0.6500,0.5000,706501,0.1500,30.00,3.8100,105.9752,USD,USD,USD
onclicka-sv,BO,mybid,0.5454,0.4700,1396524,0.0754,16.05,0.2678,105.3648,USD,USD,USD
propush-nsd,DO,clickadu,1.0599,0.6247,241442,0.4353,69.68,220.8243,105.0927,USD,USD,USD
sv,RS,mybid,0.9800,0.1200,120899,0.8600,716.67,133.4200,103.9731,USD,USD,USD
propush-nsd,KW,mybid,0.5329,0.0600,219544,0.4729,788.14,189.9039,103.8185,USD,USD,USD
sv,TZ,mybid,0.2800,0.1100,608610,0.1700,154.55,6.5300,103.4637,USD,USD,USD
propush-nsd,GH,mybid,1.2723,0.1400,91286,1.1323,808.80,492.0129,103.3645,USD,USD,USD
propush-nsd,CR,galaksion,0.5288,0.2500,368009,0.2788,111.51,56.4318,102.5913,USD,USD,USD
sv,EC,clickadu,0.9200,0.8029,873874,0.1171,14.58,3.2900,102.3114,USD,USD,USD
propush-nsd,TH,clickadu,1.3354,1.3193,6362177,0.0161,1.22,5526.4431,102.1661,USD,USD,USD
clickadu-pub-nsd,KE,mybid,0.2235,0.0500,588534,0.1735,347.09,0.9617,102.1384,USD,USD,USD
sv2,ES,mybid,0.4000,0.2700,785595,0.1300,48.15,225.5800,102.1274,USD,USD,USD
nsd,PK,mybid,0.2500,0.1200,775107,0.1300,108.33,66.6200,100.7639,USD,USD,USD
clickadu-pub-nsd,CH,mybid,0.8325,0.4800,284281,0.3525,73.44,11.0741,100.2130,USD,USD,USD
propush-nsd,NZ,mybid,0.9460,0.3600,169770,0.5860,162.78,49.8989,99.4889,USD,USD,USD
propush-nsd,CZ,galaksion,0.9640,0.5100,218793,0.4540,89.02,304.1341,99.3306,USD,USD,USD
sv2,BG,mybid,0.4000,0.1600,413765,0.2400,150.00,45.5200,99.3036,USD,USD,USD
sv2,LK,mybid,0.6100,0.4200,521746,0.1900,45.24,369.7700,99.1317,USD,USD,USD
sv,GT,galaksion,0.3500,0.1700,548055,0.1800,105.88,2.3100,98.6499,USD,USD,USD
evadav-rss,BR,mybid,0.0891,0.0500,2504341,0.0391,78.20,0.5190,97.9165,USD,USD,USD
clickadu-pub-nsd,MZ,clickadu,3.4078,2.8275,162322,0.5803,20.52,75.3974,94.1885,USD,USD,USD
sv2,KH,mybid,0.6400,0.2400,233767,0.4000,166.67,160.6700,93.5068,USD,USD,USD
sv2,PE,mybid,0.2500,0.1600,1038744,0.0900,56.25,14.9800,93.4870,USD,USD,USD
clickadilla-sv,DJ,galaksion,2.9211,0.9200,46026,2.0011,217.51,3.7040,92.1032,USD,USD,USD
propush-nsd,GA,kadam,1.1777,1.0000,516644,0.1777,17.77,30.1552,91.8106,USD,USD,USD
propush-nsd,AO,adsterra,1.5107,1.3231,488233,0.1876,14.18,469.1283,91.6161,USD,USD,USD
propush-nsd,GB,galaksion,1.3575,1.3400,5207877,0.0175,1.31,2520.4548,91.3305,USD,USD,USD
propush-nsd,TR,mybid,0.1894,0.1200,1315814,0.0694,57.84,484.0535,91.3214,USD,USD,USD
propush-nsd,MG,adsterra,0.7241,0.5915,685571,0.1326,22.42,243.9817,90.9275,USD,USD,USD
clickadu-pub-nsd,EE,mybid,1.8565,0.7000,78321,1.1565,165.21,1.3441,90.5776,USD,USD,USD
propush-nsd,BN,kadam,0.3984,0.3000,913428,0.0984,32.80,21.2800,89.8787,USD,USD,USD
clickadu-pub-nsd,MA,mybid,0.2009,0.1300,1266656,0.0709,54.53,103.9666,89.7972,USD,USD,USD
propush-nsd,TW,mybid,0.7630,0.4500,283945,0.3130,69.56,881.5766,88.8769,USD,USD,USD
sv,MM,mybid,1.6100,0.8400,115269,0.7700,91.67,7.7800,88.7571,USD,USD,USD
sv,HU,kadam,0.5100,0.5000,8863056,0.0100,2.00,5.2600,88.6306,USD,USD,USD
propush-nsd,DK,galaksion,1.3808,1.0300,248942,0.3508,34.06,114.3770,87.3326,USD,USD,USD
propush-nsd,CM,galaksion,1.3029,0.9300,229145,0.3729,40.10,567.2024,85.4498,USD,USD,USD
clickadu-pub-nsd,DM,kadam,1.2310,0.2000,81735,1.0310,515.48,0.0517,84.2649,USD,USD,USD
propush-nsd,BA,mybid,0.4523,0.1400,269290,0.3123,223.09,72.2825,84.1077,USD,USD,USD
propush-nsd,ZW,mybid,3.8144,0.3000,23783,3.5144,1171.48,1072.3443,83.5838,USD,USD,USD
propush-nsd,GE,clickadu,2.0111,1.2174,104645,0.7937,65.20,308.0112,83.0583,USD,USD,USD
nsd,SE,mybid,0.3900,0.1600,357560,0.2300,143.75,36.1000,82.2388,USD,USD,USD
sv2,RS,mybid,0.8000,0.1200,120899,0.6800,566.67,171.8400,82.2113,USD,USD,USD
propush-nsd,SI,mybid,2.0498,0.4300,50656,1.6198,376.69,289.1793,82.0503,USD,USD,USD
