account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
clickadu-pub-nsd,SG,kadam,1.3322,0.7000,28116496,0.6322,90.32,43.9772,17776.3373,USD,USD,USD
clickadu-pub-nsd,SG,inhouseads,1.3322,0.7350,25304846,0.5972,81.26,43.9772,15113.0337,USD,USD,USD
sv2,RU,mybid,1.8400,0.2300,7519872,1.6100,700.00,4.0900,12106.9939,USD,USD,USD
sv,CN,kadam,1.9900,1.5000,20145660,0.4900,32.67,44.5400,9871.3734,USD,USD,USD
propush-nsd,AU,kadam,2.0741,1.4000,13017187,0.6741,48.15,1360.1043,8775.4355,USD,USD,USD
sv,CN,inhouseads,1.9900,1.5750,18131094,0.4150,26.35,44.5400,7524.4040,USD,USD,USD
sv,ID,galaksion,0.4800,0.3800,75236121,0.1000,26.32,24.5500,7523.6121,USD,USD,USD
sv,CN,mybid,1.9900,0.0800,3814967,1.9100,2387.50,44.5400,7286.5870,USD,USD,USD
propush-nsd,AU,inhouseads,2.0741,1.4700,11715468,0.6041,41.10,1360.1043,7077.8090,USD,USD,USD
clickadu-pub-nsd,KR,kadam,1.2448,0.8000,15388115,0.4448,55.60,40.1838,6844.2362,USD,USD,USD
clickadu-pub-nsd,CY,kadam,6.2015,0.7000,1236128,5.5015,785.92,38.8336,6800.5201,USD,USD,USD
propush-nsd,US,mybid,1.1306,0.2500,7668143,0.8806,352.23,2664.1791,6752.3916,USD,USD,USD
clickadilla-sv,CN,mybid,1.7860,0.0800,3814967,1.7060,2132.47,439.3582,6508.2290,USD,USD,USD
propush-nsd,ID,galaksion,0.4650,0.3800,75236121,0.0850,22.38,5607.0716,6397.0305,USD,USD,USD
clickadu-pub-nsd,CY,inhouseads,6.2015,0.7350,1112515,5.4665,743.74,38.8336,6081.5290,USD,USD,USD
propush-nsd,FR,kadam,0.6867,0.6000,68966490,0.0867,14.44,1966.4847,5976.5440,USD,USD,USD
clickadilla-sv,CN,kadam,1.7860,1.5000,20145660,0.2860,19.06,439.3582,5761.1060,USD,USD,USD
clickadu-pub-nsd,KR,inhouseads,1.2448,0.8400,13849303,0.4048,48.19,40.1838,5605.8402,USD,USD,USD
clickadu-pub-nsd,SG,clickadu,1.3322,0.2978,5246231,1.0345,347.41,43.9772,5427.0618,USD,USD,USD
propush-nsd,ZW,kadam,3.6095,1.4000,2227053,2.2095,157.82,836.3742,4920.6978,USD,USD,USD
propush-nsd,TH,kadam,1.4210,1.3000,37469394,0.1210,9.31,4600.9859,4533.4467,USD,USD,USD
propush-nsd,GB,mybid,1.4061,0.0500,3225971,1.3561,2712.15,2356.7033,4374.6546,USD,USD,USD
propush-nsd,ZW,inhouseads,3.6095,1.4700,2004347,2.1395,145.54,836.3742,4288.3221,USD,USD,USD
