account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-inhouse-constructor,MM,kadam,14.4077,2.3000,10285563,12.1077,526.42,8.6302,124534.5986,USD,USD,USD
propush-constructor,US,kadam,2.1938,1.7000,251661983,0.4938,29.05,902.1521,124269.4136,USD,USD,USD
propush-inhouse-constructor,MM,inhouseads,14.4077,2.4150,9257006,11.9927,496.59,8.6302,111016.5746,USD,USD,USD
propush-constructor,US,inhouseads,2.1938,1.7850,226495784,0.4088,22.90,902.1521,92590.3302,USD,USD,USD
sv,BR,kadam,1.0900,0.6000,111903792,0.4900,81.67,782.3700,54832.8581,USD,USD,USD
propush-cpc,NG,kadam,2.1053,1.1000,49358498,1.0053,91.39,1821.3431,49618.5188,USD,USD,USD
propush-cpc,AU,kadam,5.5781,1.8000,12935009,3.7781,209.89,840.5267,48869.4361,USD,USD,USD
sv,BR,inhouseads,1.0900,0.6300,100713412,0.4600,73.02,782.3700,46328.1695,USD,USD,USD
propush-cpc,AU,inhouseads,5.5781,1.8900,11641508,3.6881,195.14,840.5267,42934.7564,USD,USD,USD
propush-cpc,NG,inhouseads,2.1053,1.1550,44422648,0.9503,82.27,1821.3431,42213.4210,USD,USD,USD
propush-inhouse-constructor,GB,kadam,3.5045,2.6000,41479919,0.9045,34.79,96.0961,37517.3638,USD,USD,USD
propush-inhouse-constructor,GB,inhouseads,3.5045,2.7300,37331927,0.7745,28.37,96.0961,28912.4769,USD,USD,USD
propush-cpc,GB,kadam,3.2868,2.6000,41479919,0.6868,26.42,1494.5448,28489.0676,USD,USD,USD
propush-constructor,CA,kadam,2.5398,1.9000,34570693,0.6398,33.67,196.6717,22117.0925,USD,USD,USD
propush-cpc,GB,inhouseads,3.2868,2.7300,37331927,0.5568,20.40,1494.5448,20787.0102,USD,USD,USD
propush-inhouse-constructor,MX,kadam,0.8793,0.6000,73738315,0.2793,46.55,15.4973,20597.2696,USD,USD,USD
propush-cpc,IT,kadam,1.1578,0.6000,35543171,0.5578,92.96,352.8777,19825.5713,USD,USD,USD
propush-constructor,US,galaksion,2.1938,1.2800,21557396,0.9138,71.39,902.1521,19699.0394,USD,USD,USD
propush-cpc,ID,galaksion,0.6155,0.3800,75236121,0.2355,61.97,453.7070,17718.2736,USD,USD,USD
propush-constructor,US,mybid,2.1938,0.2500,8935573,1.9438,777.52,902.1521,17368.9216,USD,USD,USD
propush-constructor,US,clickadu,2.1938,1.4967,24692332,0.6971,46.57,902.1521,17211.9861,USD,USD,USD
propush-cpc,VN,kadam,0.7207,0.3000,40437577,0.4207,140.24,148.7933,17013.0174,USD,USD,USD
propush-constructor,CA,inhouseads,2.5398,1.9950,31113623,0.5448,27.31,196.6717,16949.5886,USD,USD,USD
propush-cpc,IT,inhouseads,1.1578,0.6300,31988853,0.5278,83.78,352.8777,16883.3481,USD,USD,USD
propush-inhouse-constructor,MX,inhouseads,0.8793,0.6300,66364483,0.2493,39.58,15.4973,16546.6080,USD,USD,USD
propush-cpc,VN,inhouseads,0.7207,0.3150,36393819,0.4057,128.80,148.7933,14765.8083,USD,USD,USD
propush-inhouse-constructor,MM,adsterra,14.4077,5.1102,1461685,9.2975,181.94,8.6302,13589.9717,USD,USD,USD
propush-nsd,GB,kadam,2.9148,2.6000,41479919,0.3148,12.11,21539.3093,13057.4764,USD,USD,USD
propush-tb,GB,kadam,2.9100,2.6000,41479919,0.3100,11.92,18913.8656,12858.2578,USD,USD,USD
propush-cpc,MM,kadam,3.4536,2.3000,10285563,1.1536,50.16,675.3827,11865.7947,USD,USD,USD
propush-cpc,US,mybid,1.5469,0.2500,8935573,1.2969,518.77,553.1856,11588.7436,USD,USD,USD
propush-inhouse-constructor,GB,galaksion,3.5045,1.3400,5207877,2.1645,161.53,96.0961,11272.2962,USD,USD,USD
propush-inhouse-constructor,ID,galaksion,0.5273,0.3800,75236121,0.1473,38.77,66.5612,11082.9874,USD,USD,USD
propush-nsd,AU,kadam,2.6125,1.8000,12935009,0.8125,45.14,2307.7351,10509.1048,USD,USD,USD
propush-cpc,GB,galaksion,3.2868,1.3400,5207877,1.9468,145.28,1494.5448,10138.7777,USD,USD,USD
propush-cpc,MM,inhouseads,3.4536,2.4150,9257006,1.0386,43.01,675.3827,9614.6588,USD,USD,USD
propush-constructor,NL,kadam,1.7744,1.1000,13783395,0.6744,61.31,12.0356,9295.2743,USD,USD,USD
propush-inhouse-constructor,US,mybid,1.2835,0.2500,8935573,1.0335,413.41,21.5378,9235.2457,USD,USD,USD
propush-inhouse-constructor,GB,mybid,3.5045,0.3400,2808837,3.1645,930.73,96.0961,8888.4819,USD,USD,USD
propush-inhouse-constructor,MM,clickadu,14.4077,0.8853,630723,13.5225,1527.53,8.6302,8528.9243,USD,USD,USD
propush-nsd,AU,inhouseads,2.6125,1.8900,11641508,0.7225,38.23,2307.7351,8410.4585,USD,USD,USD
propush-cpc,GB,mybid,3.2868,0.3400,2808837,2.9468,866.71,1494.5448,8277.1255,USD,USD,USD
propush-nsd,GB,galaksion,2.9148,1.3400,5207877,1.5748,117.52,21539.3093,8201.3142,USD,USD,USD
propush-tb,GB,galaksion,2.9100,1.3400,5207877,1.5700,117.16,18913.8656,8176.3020,USD,USD,USD
propush-constructor,IT,kadam,0.8253,0.6000,35543171,0.2253,37.55,440.7866,8008.5152,USD,USD,USD
propush-nsd,US,mybid,1.1197,0.2500,8935573,0.8697,347.89,4810.4071,7771.5032,USD,USD,USD
propush-constructor,NL,inhouseads,1.7744,1.1550,12405055,0.6194,53.63,12.0356,7683.4685,USD,USD,USD
propush-cpc,NG,galaksion,2.1053,0.8500,6120478,1.2553,147.68,1821.3431,7682.8402,USD,USD,USD
propush-constructor,DE,kadam,1.3707,1.2000,44054232,0.1707,14.22,201.6747,7517.8552,USD,USD,USD
propush-cpc,PH,kadam,0.7762,0.7000,98252152,0.0762,10.88,540.8104,7485.6153,USD,USD,USD
propush-constructor,ID,galaksion,0.4761,0.3800,75236121,0.0961,25.30,863.9610,7233.0331,USD,USD,USD
propush-nsd,GB,mybid,2.9148,0.3400,2808837,2.5748,757.29,21539.3093,7232.1663,USD,USD,USD
propush-tb,GB,mybid,2.9100,0.3400,2808837,2.5700,755.88,18913.8656,7218.6761,USD,USD,USD
propush-inhouse-constructor,MZ,kadam,4.0741,1.9000,3316934,2.1741,114.43,0.7904,7211.3864,USD,USD,USD
propush-cpc,AU,mybid,5.5781,0.3000,1334219,5.2781,1759.36,840.5267,7042.1082,USD,USD,USD
propush-cpc,AU,galaksion,5.5781,1.0500,1541742,4.5281,431.25,840.5267,6981.1236,USD,USD,USD
propush-nsd,GB,inhouseads,2.9148,2.7300,37331927,0.1848,6.77,21539.3093,6898.5782,USD,USD,USD
propush-tb,GB,inhouseads,2.9100,2.7300,37331927,0.1800,6.59,18913.8656,6719.2815,USD,USD,USD
propush-constructor,CA,galaksion,2.5398,1.2300,5027422,1.3098,106.48,196.6717,6584.7375,USD,USD,USD
propush-constructor,GB,galaksion,2.5979,1.3400,5207877,1.2579,93.87,1130.8990,6550.9809,USD,USD,USD
sv,BR,galaksion,1.0900,0.5400,11778624,0.5500,101.85,782.3700,6478.2432,USD,USD,USD
propush-inhouse-constructor,MM,galaksion,14.4077,1.2500,487741,13.1577,1052.62,8.6302,6417.5539,USD,USD,USD
propush-constructor,GB,mybid,2.5979,0.3400,2808837,2.2579,664.09,1130.8990,6342.0690,USD,USD,USD
propush-tb,US,mybid,0.9512,0.2500,8935573,0.7012,280.48,3355.0694,6265.5601,USD,USD,USD
