account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-cpc,AU,kadam,7.0575,1.6000,14356024,5.4575,341.09,1009.6090,78347.8370,USD,USD,USD
propush-cpc,AU,inhouseads,7.0575,1.6800,12920421,5.3775,320.09,1009.6090,69479.4164,USD,USD,USD
propush-constructor,US,kadam,1.4800,1.3000,240158621,0.1800,13.85,1079.8871,43231.7033,USD,USD,USD
propush-constructor,GB,kadam,2.7101,2.0000,45742525,0.7101,35.51,753.8524,32484.0233,USD,USD,USD
propush-cpc,NG,kadam,1.5202,0.8000,40670572,0.7202,90.02,697.5433,29289.8284,USD,USD,USD
propush-cpc,FR,kadam,0.9340,0.4000,54454888,0.5340,133.49,627.8586,29077.2049,USD,USD,USD
propush-constructor,BR,kadam,0.6262,0.4000,116386762,0.2262,56.55,41.4170,26327.9849,USD,USD,USD
propush-cpc,FR,inhouseads,0.9340,0.4200,49009399,0.5140,122.37,627.8586,25189.2963,USD,USD,USD
propush-constructor,GB,inhouseads,2.7101,2.1000,41168272,0.6101,29.05,753.8524,25118.7934,USD,USD,USD
propush-cpc,NG,inhouseads,1.5202,0.8400,36603514,0.6802,80.97,697.5433,24896.7044,USD,USD,USD
propush-constructor,US,inhouseads,1.4800,1.3650,216142758,0.1150,8.43,1079.8871,24859.2535,USD,USD,USD
propush-constructor,BR,inhouseads,0.6262,0.4200,104748085,0.2062,49.10,41.4170,21600.2246,USD,USD,USD
propush-nsd,GB,kadam,2.4141,2.0000,45742525,0.4141,20.71,9630.7756,18943.3786,USD,USD,USD
propush-tb,GB,kadam,2.4103,2.0000,45742525,0.4103,20.51,7755.1307,18767.4743,USD,USD,USD
propush-constructor,FR,kadam,0.7194,0.4000,54454888,0.3194,79.86,137.1229,17394.8182,USD,USD,USD
propush-cpc,IT,kadam,1.0656,0.6000,35357374,0.4656,77.60,270.5023,16462.6561,USD,USD,USD
propush-nsd,AU,kadam,2.7456,1.6000,14356024,1.1456,71.60,2271.7762,16446.0372,USD,USD,USD
propush-constructor,FR,inhouseads,0.7194,0.4200,49009399,0.2994,71.29,137.1229,14675.1483,USD,USD,USD
propush-cpc,ID,galaksion,0.5717,0.3800,75236121,0.1917,50.44,276.8899,14419.9414,USD,USD,USD
propush-cpc,IT,inhouseads,1.0656,0.6300,31821636,0.4356,69.14,270.5023,13861.7411,USD,USD,USD
propush-constructor,US,mybid,1.4800,0.2400,11113297,1.2400,516.67,1079.8871,13780.6341,USD,USD,USD
propush-nsd,AU,inhouseads,2.7456,1.6800,12920421,1.0656,63.43,2271.7762,13767.7991,USD,USD,USD
propush-nsd,FR,kadam,0.6383,0.4000,54454888,0.2383,59.57,3377.7764,12976.1732,USD,USD,USD
propush-nsd,GB,inhouseads,2.4141,2.1000,41168272,0.3141,14.96,9630.7756,12932.2134,USD,USD,USD
propush-tb,GB,inhouseads,2.4103,2.1000,41168272,0.3103,14.78,7755.1307,12773.8995,USD,USD,USD
propush-cpc,GB,kadam,2.2724,2.0000,45742525,0.2724,13.62,1121.7925,12460.2177,USD,USD,USD
propush-cpc,US,mybid,1.2990,0.2400,11113297,1.0590,441.24,629.8372,11768.7463,USD,USD,USD
propush-cpc,TH,kadam,1.5083,1.2000,37680226,0.3083,25.69,227.0380,11618.2442,USD,USD,USD
propush-constructor,MM,kadam,2.6725,1.6000,10475764,1.0725,67.03,367.8227,11234.7400,USD,USD,USD
propush-cpc,AU,mybid,7.0575,0.2100,1626515,6.8475,3260.71,1009.6090,11137.5429,USD,USD,USD
propush-constructor,AU,kadam,2.3734,1.6000,14356024,0.7734,48.34,257.3118,11103.2181,USD,USD,USD
propush-constructor,IT,kadam,0.9060,0.6000,35357374,0.3060,51.00,411.7867,10818.5628,USD,USD,USD
propush-nsd,FR,inhouseads,0.6383,0.4200,49009399,0.2183,51.97,3377.7764,10698.3678,USD,USD,USD
propush-tb,FR,kadam,0.5899,0.4000,54454888,0.1899,47.48,2612.7949,10342.1842,USD,USD,USD
clickadu-pub-nsd,NL,kadam,2.0553,1.0000,9731325,1.0553,105.53,52.7821,10269.4448,USD,USD,USD
clickadu-pub-nsd,JO,kadam,1.5461,0.4000,8763715,1.1461,286.54,26.9416,10044.4999,USD,USD,USD
propush-constructor,MM,inhouseads,2.6725,1.6800,9428187,0.9925,59.07,367.8227,9357.0104,USD,USD,USD
propush-nsd,BR,kadam,0.4799,0.4000,116386762,0.0799,19.98,3010.5519,9300.8696,USD,USD,USD
propush-cpc,AU,galaksion,7.0575,1.0500,1541742,6.0075,572.14,1009.6090,9261.9975,USD,USD,USD
propush-tb,BR,kadam,0.4785,0.4000,116386762,0.0785,19.63,2928.0036,9137.4331,USD,USD,USD
propush-constructor,AU,inhouseads,2.3734,1.6800,12920421,0.6934,41.27,257.3118,8959.2622,USD,USD,USD
clickadu-pub-nsd,JO,inhouseads,1.5461,0.4200,7887343,1.1261,268.13,26.9416,8882.3025,USD,USD,USD
propush-cpc,MM,kadam,2.4434,1.6000,10475764,0.8434,52.71,519.5780,8835.5618,USD,USD,USD
clickadu-pub-nsd,NL,inhouseads,2.0553,1.0500,8758192,1.0053,95.74,52.7821,8804.5902,USD,USD,USD
propush-constructor,IT,inhouseads,0.9060,0.6300,31821636,0.2760,43.81,411.7867,8782.0573,USD,USD,USD
propush-cpc,VN,kadam,0.4891,0.3000,44567275,0.1891,63.03,87.8229,8426.7370,USD,USD,USD
propush-cpc,TH,inhouseads,1.5083,1.2600,33912203,0.2483,19.71,227.0380,8421.6875,USD,USD,USD
propush-nsd,US,mybid,0.9920,0.2400,11113297,0.7520,313.34,3564.3407,8357.4860,USD,USD,USD
propush-tb,FR,inhouseads,0.5899,0.4200,49009399,0.1699,40.46,2612.7949,8327.7778,USD,USD,USD
propush-constructor,GB,mybid,2.7101,0.1700,3116687,2.5401,1494.21,753.8524,7916.8504,USD,USD,USD
