account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-constructor,US,kadam,3.4027,1.5000,333715257,1.9027,126.85,1611.5657,634959.5702,USD,USD,USD
propush-constructor,US,inhouseads,3.4027,1.5750,300343731,1.8277,116.04,1611.5657,548937.8328,USD,USD,USD
propush-constructor,AU,kadam,10.5494,1.5000,17954132,9.0494,603.29,403.6613,162473.7031,USD,USD,USD
propush-constructor,AU,inhouseads,10.5494,1.5750,16158718,8.9744,569.80,403.6613,145014.4217,USD,USD,USD
propush-cpc,AU,kadam,7.8158,1.5000,17954132,6.3158,421.05,802.2073,113394.9464,USD,USD,USD
propush-cpc,AU,inhouseads,7.8158,1.5750,16158718,6.2408,396.24,802.2073,100843.5428,USD,USD,USD
propush-constructor,US,clickadu,3.4027,1.4409,29979278,1.9618,136.15,1611.5657,58813.3672,USD,USD,USD
propush-constructor,US,galaksion,3.4027,1.2800,21557396,2.1227,165.84,1611.5657,45759.8555,USD,USD,USD
propush-cpc,PH,kadam,1.0059,0.7000,104980690,0.3059,43.69,358.4086,32109.2616,USD,USD,USD
propush-cpc,NG,kadam,1.5063,0.8000,43456877,0.7063,88.29,692.7574,30695.1098,USD,USD,USD
propush-cpc,NG,inhouseads,1.5063,0.8400,39111189,0.6663,79.33,692.7574,26061.1511,USD,USD,USD
propush-cpc,PH,inhouseads,1.0059,0.7350,94482621,0.2709,36.85,358.4086,25591.4437,USD,USD,USD
propush-nsd,AU,kadam,2.9249,1.5000,17954132,1.4249,94.99,2016.2255,25582.9523,USD,USD,USD
propush-nsd,AU,inhouseads,2.9249,1.5750,16158718,1.3499,85.71,2016.2255,21812.7521,USD,USD,USD
propush-constructor,US,mybid,3.4027,0.4300,7279111,2.9727,691.33,1611.5657,21638.6035,USD,USD,USD
propush-constructor,CA,kadam,2.2879,1.6000,30941580,0.6879,43.00,186.8273,21285.4454,USD,USD,USD
propush-constructor,ID,galaksion,0.6198,0.3800,75236121,0.2398,63.10,1804.3914,18040.6736,USD,USD,USD
