account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
sv,TH,kadam,1.7000,1.2000,37818317,0.5000,41.67,40.8800,18909.1585,USD,USD,USD
propush-nsd,AU,kadam,2.4413,1.5000,16064975,0.9413,62.75,2293.5188,15121.3424,USD,USD,USD
sv,TH,inhouseads,1.7000,1.2600,34036485,0.4400,34.92,40.8800,14976.0534,USD,USD,USD
propush-nsd,ID,galaksion,0.5603,0.3800,75236121,0.1803,47.44,7233.0347,13563.5956,USD,USD,USD
propush-nsd,AU,inhouseads,2.4413,1.5750,14458477,0.8663,55.00,2293.5188,12524.8219,USD,USD,USD
propush-nsd,MM,kadam,1.5572,0.9000,10976165,0.6572,73.03,2010.9132,7213.8499,USD,USD,USD
propush-nsd,MM,inhouseads,1.5572,0.9450,9878548,0.6122,64.79,2010.9132,6047.9299,USD,USD,USD
propush-nsd,NP,galaksion,1.3714,0.5900,7429208,0.7814,132.44,4951.9028,5805.1880,USD,USD,USD
propush-nsd,US,mybid,1.2639,0.4700,6737453,0.7939,168.92,2721.4175,5348.9371,USD,USD,USD
sv,CN,mybid,1.7800,0.0800,3027524,1.7000,2125.00,43.2800,5146.7908,USD,USD,USD
clickadilla-sv,FR,kadam,0.5900,0.5000,53045708,0.0900,17.99,31.0352,4772.3888,USD,USD,USD
clickadu-pub-nsd,DE,kadam,1.1035,1.0000,41065655,0.1035,10.35,265.5088,4248.4254,USD,USD,USD
sv,NP,galaksion,1.0900,0.5900,7429208,0.5000,84.75,541.1400,3714.6040,USD,USD,USD
propush-nsd,ZW,kadam,2.7268,0.9000,1761474,1.8268,202.98,447.3842,3217.9279,USD,USD,USD
clickadilla-sv,FR,inhouseads,0.5900,0.5250,47741137,0.0650,12.37,31.0352,3101.6215,USD,USD,USD
clickadu-pub-nsd,DE,clickadu,1.1035,0.7813,9345339,0.3222,41.24,265.5088,3010.9885,USD,USD,USD
sv,TH,clickadu,1.7000,1.2038,5873470,0.4962,41.22,40.8800,2914.4922,USD,USD,USD
propush-nsd,RU,mybid,0.6474,0.1900,6333047,0.4574,240.75,29.8782,2896.9204,USD,USD,USD
propush-nsd,ZW,inhouseads,2.7268,0.9450,1585326,1.7818,188.55,447.3842,2824.7943,USD,USD,USD
clickadu-pub-nsd,UA,mybid,1.0428,0.1600,2976901,0.8828,551.78,457.3190,2628.1363,USD,USD,USD
clickadu-pub-nsd,RU,mybid,0.6014,0.1900,6333047,0.4114,216.53,19.3179,2605.4807,USD,USD,USD
propush-nsd,DE,clickadu,1.0536,0.7813,9345339,0.2724,34.86,3609.8136,2545.4145,USD,USD,USD
sv2,CN,mybid,0.9000,0.0800,3027524,0.8200,1025.00,182.1300,2482.5697,USD,USD,USD
propush-nsd,CN,mybid,0.8762,0.0800,3027524,0.7962,995.21,183.7953,2410.4268,USD,USD,USD
propush-nsd,UA,mybid,0.9685,0.1600,2976901,0.8085,505.28,161.5839,2406.6926,USD,USD,USD
nsd,CN,mybid,0.8400,0.0800,3027524,0.7600,950.00,236.1300,2300.9182,USD,USD,USD
propush-nsd,FR,kadam,0.5432,0.5000,53045708,0.0432,8.65,1571.6778,2293.8017,USD,USD,USD
propush-nsd,ID,mybid,0.5603,0.3000,8801658,0.2603,86.76,7233.0347,2290.8988,USD,USD,USD
clickadu-pub-nsd,SG,clickadu,0.6485,0.2590,5816955,0.3895,150.36,21.2760,2265.4296,USD,USD,USD
clickadu-pub-nsd,CN,mybid,0.8246,0.0800,3027524,0.7446,930.69,2.7136,2254.1485,USD,USD,USD
propush-nsd,DE,kadam,1.0536,1.0000,41065655,0.0536,5.36,3609.8136,2202.5821,USD,USD,USD
sv2,NP,galaksion,0.8800,0.5900,7429208,0.2900,49.15,680.3200,2154.4703,USD,USD,USD
clickadu-pub-nsd,RS,kadam,1.3039,0.9000,5324581,0.4039,44.87,8.6250,2150.3580,USD,USD,USD
propush-nsd,AU,galaksion,2.4413,1.0500,1541742,1.3913,132.50,2293.5188,2144.9663,USD,USD,USD
clickadilla-sv,UA,mybid,0.8782,0.1600,2976901,0.7182,448.90,26.0765,2138.1134,USD,USD,USD
sv,CN,clickadu,1.7800,1.3502,4741984,0.4298,31.83,43.2800,2038.0573,USD,USD,USD
clickadu-pub-nsd,DE,mybid,1.1035,0.3300,2620110,0.7735,234.38,265.5088,2026.5358,USD,USD,USD
propush-nsd,AU,mybid,2.4413,0.4300,1003935,2.0113,467.74,2293.5188,2019.1758,USD,USD,USD
clickadu-pub-nsd,DE,inhouseads,1.1035,1.0500,36959089,0.0535,5.09,265.5088,1975.6284,USD,USD,USD
