account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-constructor,US,kadam,2.9478,1.5000,309156328,1.4478,96.52,602.9253,447583.1183,USD,USD,USD
propush-constructor,US,inhouseads,2.9478,1.5750,278240695,1.3728,87.16,602.9253,381956.7541,USD,USD,USD
propush-cpc,US,kadam,2.1702,1.5000,309156328,0.6702,44.68,824.1712,207209.6755,USD,USD,USD
propush-cpc,US,inhouseads,2.1702,1.5750,278240695,0.5952,37.79,824.1712,165620.6557,USD,USD,USD
propush-cpc,AU,kadam,6.9927,1.5000,14816042,5.4927,366.18,522.6569,81380.3853,USD,USD,USD
propush-cpc,AU,inhouseads,6.9927,1.5750,13334437,5.4177,343.98,522.6569,72242.2596,USD,USD,USD
propush-cpc,GB,kadam,3.3563,2.2000,34942687,1.1563,52.56,842.9618,40405.6629,USD,USD,USD
propush-constructor,US,clickadu,2.9478,1.4477,26872271,1.5001,103.62,602.9253,40310.0084,USD,USD,USD
propush-constructor,US,galaksion,2.9478,1.2800,21557396,1.6678,130.29,602.9253,35952.4897,USD,USD,USD
propush-cpc,GB,inhouseads,3.3563,2.3100,31448418,1.0463,45.30,842.9618,32905.7702,USD,USD,USD
propush-cpc,IT,kadam,1.4627,0.6000,34147558,0.8627,143.79,488.7752,29460.2329,USD,USD,USD
propush-constructor,ID,galaksion,0.7701,0.3800,75236121,0.3901,102.65,1944.3959,29346.8943,USD,USD,USD
propush-cpc,IT,inhouseads,1.4627,0.6300,30732802,0.8327,132.18,488.7752,25592.2254,USD,USD,USD
propush-constructor,AU,kadam,3.0273,1.5000,14816042,1.5273,101.82,224.0102,22628.3640,USD,USD,USD
propush-cpc,ID,galaksion,0.6513,0.3800,75236121,0.2713,71.38,431.4491,20407.9335,USD,USD,USD
propush-cpc,US,clickadu,2.1702,1.4477,26872271,0.7225,49.91,824.1712,19416.4355,USD,USD,USD
