account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-cpc,NG,kadam,2.0076,0.9000,46951973,1.1076,123.07,1733.5097,52005.7161,USD,USD,USD
propush-cpc,AU,kadam,5.5579,1.6000,12551693,3.9579,247.37,865.3918,49677.8131,USD,USD,USD
propush-cpc,NG,inhouseads,2.0076,0.9450,42256775,1.0626,112.45,1733.5097,44903.5888,USD,USD,USD
propush-cpc,AU,inhouseads,5.5579,1.6800,11296523,3.8779,230.82,865.3918,43806.3072,USD,USD,USD
sv,BR,kadam,0.9200,0.5000,92019978,0.4200,84.00,477.1600,38648.3908,USD,USD,USD
sv,BR,inhouseads,0.9200,0.5250,82817980,0.3950,75.24,477.1600,32713.1021,USD,USD,USD
clickadu-pub-nsd,FR,kadam,1.0503,0.5000,52791336,0.5503,110.06,170.2203,29050.8212,USD,USD,USD
propush-cpc,GB,kadam,3.0527,2.3000,36452108,0.7527,32.73,1460.5714,27437.1142,USD,USD,USD
clickadu-pub-nsd,FR,inhouseads,1.0503,0.5250,47512202,0.5253,100.06,170.2203,24957.9338,USD,USD,USD
propush-cpc,IT,kadam,1.2966,0.6000,33558186,0.6966,116.10,450.7969,23376.2790,USD,USD,USD
propush-cpc,US,kadam,1.7350,1.6000,169308299,0.1350,8.44,627.7139,22854.8047,USD,USD,USD
propush-cpc,ID,galaksion,0.6626,0.3800,75236121,0.2826,74.36,594.6761,21260.7174,USD,USD,USD
propush-cpc,GB,inhouseads,3.0527,2.4150,32806897,0.6377,26.41,1460.5714,20920.6095,USD,USD,USD
propush-cpc,IT,inhouseads,1.2966,0.6300,30202367,0.6666,105.81,450.7969,20132.5798,USD,USD,USD
propush-constructor,DE,kadam,1.4653,1.0000,42231636,0.4653,46.53,253.5779,19652.2690,USD,USD,USD
propush-tb,DE,kadam,1.4534,1.0000,42231636,0.4534,45.34,7591.6435,19146.8047,USD,USD,USD
propush-cpc,MM,kadam,3.7402,1.8000,9625229,1.9402,107.79,799.7676,18674.5634,USD,USD,USD
propush-nsd,DE,kadam,1.4385,1.0000,42231636,0.4385,43.85,8463.7630,18517.6961,USD,USD,USD
propush-nsd,GB,kadam,2.7469,2.3000,36452108,0.4469,19.43,21046.3211,16288.6655,USD,USD,USD
propush-constructor,MM,kadam,3.4777,1.8000,9625229,1.6777,93.21,354.0032,16148.3562,USD,USD,USD
propush-cpc,MM,inhouseads,3.7402,1.8900,8662706,1.8502,97.89,799.7676,16027.4633,USD,USD,USD
propush-cpc,US,mybid,1.7350,0.2500,10761167,1.4850,594.00,627.7139,15980.2176,USD,USD,USD
propush-constructor,GB,kadam,2.7338,2.3000,36452108,0.4338,18.86,1785.2635,15812.4214,USD,USD,USD
propush-constructor,DE,inhouseads,1.4653,1.0500,38008472,0.4153,39.56,253.5779,15786.6183,USD,USD,USD
propush-tb,GB,kadam,2.7258,2.3000,36452108,0.4258,18.51,17800.4861,15519.5019,USD,USD,USD
propush-constructor,FR,kadam,0.7909,0.5000,52791336,0.2909,58.18,121.6997,15357.5252,USD,USD,USD
propush-tb,DE,inhouseads,1.4534,1.0500,38008472,0.4034,38.42,7591.6435,15331.7005,USD,USD,USD
propush-cpc,FR,kadam,0.7892,0.5000,52791336,0.2892,57.85,442.6981,15269.2139,USD,USD,USD
propush-nsd,DE,inhouseads,1.4385,1.0500,38008472,0.3885,37.00,8463.7630,14765.5027,USD,USD,USD
propush-constructor,US,mybid,1.5769,0.2500,10761167,1.3269,530.74,770.4152,14278.5453,USD,USD,USD
propush-constructor,MM,inhouseads,3.4777,1.8900,8662706,1.5877,84.01,354.0032,13753.8769,USD,USD,USD
propush-constructor,FR,inhouseads,0.7909,0.5250,47512202,0.2659,50.65,121.6997,12633.9675,USD,USD,USD
propush-cpc,FR,inhouseads,0.7892,0.5250,47512202,0.2642,50.33,442.6981,12554.4873,USD,USD,USD
propush-nsd,AU,kadam,2.5953,1.6000,12551693,0.9953,62.21,2667.1536,12493.1458,USD,USD,USD
propush-cpc,DE,kadam,1.2693,1.0000,42231636,0.2693,26.93,618.5417,11371.5821,USD,USD,USD
propush-nsd,GB,inhouseads,2.7469,2.4150,32806897,0.3319,13.74,21046.3211,10887.0057,USD,USD,USD
propush-constructor,GB,inhouseads,2.7338,2.4150,32806897,0.3188,13.20,1785.2635,10458.3860,USD,USD,USD
propush-nsd,AU,inhouseads,2.5953,1.6800,11296523,0.9153,54.48,2667.1536,10340.1087,USD,USD,USD
propush-tb,GB,inhouseads,2.7258,2.4150,32806897,0.3108,12.87,17800.4861,10194.7585,USD,USD,USD
propush-cpc,VN,kadam,0.6935,0.4000,34735013,0.2935,73.37,137.8368,10194.5241,USD,USD,USD
clickadu-pub-nsd,DE,kadam,1.2338,1.0000,42231636,0.2338,23.38,345.2729,9872.4741,USD,USD,USD
propush-cpc,US,galaksion,1.7350,1.2800,21557396,0.4550,35.55,627.7139,9808.3840,USD,USD,USD
propush-constructor,CA,kadam,2.1357,1.8000,28897797,0.3357,18.65,181.6634,9701.2348,USD,USD,USD
propush-cpc,AU,mybid,5.5579,0.2400,1793881,5.3179,2215.77,865.3918,9539.6036,USD,USD,USD
propush-constructor,IT,kadam,0.8825,0.6000,33558186,0.2825,47.09,535.2683,9480.6929,USD,USD,USD
propush-cpc,GB,galaksion,3.0527,1.3400,5207877,1.7127,127.81,1460.5714,8919.4756,USD,USD,USD
propush-constructor,BR,kadam,0.5931,0.5000,92019978,0.0931,18.62,106.1061,8568.5646,USD,USD,USD
propush-cpc,VN,inhouseads,0.6935,0.4200,31261511,0.2735,65.12,137.8368,8549.8413,USD,USD,USD
propush-cpc,US,inhouseads,1.7350,1.6800,152377469,0.0550,3.27,627.7139,8379.1267,USD,USD,USD
propush-cpc,DE,inhouseads,1.2693,1.0500,38008472,0.2193,20.88,618.5417,8334.0002,USD,USD,USD
propush-constructor,ID,galaksion,0.4877,0.3800,75236121,0.1077,28.35,996.0235,8105.5600,USD,USD,USD
propush-constructor,IT,inhouseads,0.8825,0.6300,30202367,0.2525,40.08,535.2683,7626.5525,USD,USD,USD
propush-cpc,TH,kadam,1.2640,1.1000,45375325,0.1640,14.90,220.7363,7439.2920,USD,USD,USD
propush-nsd,US,mybid,0.9313,0.2500,10761167,0.6813,272.50,3636.9095,7331.1429,USD,USD,USD
propush-nsd,GB,galaksion,2.7469,1.3400,5207877,1.4069,104.99,21046.3211,7326.7076,USD,USD,USD
propush-constructor,GB,galaksion,2.7338,1.3400,5207877,1.3938,104.01,1785.2635,7258.6671,USD,USD,USD
propush-tb,GB,galaksion,2.7258,1.3400,5207877,1.3858,103.41,17800.4861,7216.8180,USD,USD,USD
propush-cpc,NG,galaksion,2.0076,0.8500,6120478,1.1576,136.19,1733.5097,7085.2883,USD,USD,USD
propush-tb,TH,kadam,1.2559,1.1000,45375325,0.1559,14.18,1828.0663,7075.7614,USD,USD,USD
clickadu-pub-nsd,SG,kadam,1.5270,0.6000,7579863,0.9270,154.50,36.5834,7026.3856,USD,USD,USD
clickadu-pub-nsd,DE,inhouseads,1.2338,1.0500,38008472,0.1838,17.50,345.2729,6984.8030,USD,USD,USD
propush-nsd,TH,kadam,1.2534,1.1000,45375325,0.1534,13.95,2133.9325,6960.5801,USD,USD,USD
propush-cpc,AU,galaksion,5.5579,1.0500,1541742,4.5079,429.32,865.3918,6949.9533,USD,USD,USD
propush-cpc,GB,mybid,3.0527,0.3400,2484818,2.7127,797.85,1460.5714,6740.5394,USD,USD,USD
propush-cpc,US,clickadu,1.7350,1.4862,25860089,0.2488,16.74,627.7139,6432.9370,USD,USD,USD
propush-constructor,US,galaksion,1.5769,1.2800,21557396,0.2969,23.19,770.4152,6399.4950,USD,USD,USD
propush-constructor,CA,inhouseads,2.1357,1.8900,26008017,0.2457,13.00,181.6634,6390.3897,USD,USD,USD
propush-constructor,AU,kadam,2.1044,1.6000,12551693,0.5044,31.53,230.9071,6331.5228,USD,USD,USD
propush-cpc,PH,kadam,0.7609,0.7000,103145673,0.0609,8.70,467.5665,6282.7740,USD,USD,USD
clickadu-pub-nsd,SG,inhouseads,1.5270,0.6300,6821876,0.8970,142.38,36.5834,6119.0901,USD,USD,USD
