account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
evadav-sv,IS,0.0643,0.2100,8450,-0.1457,-69.38,0.0370,-1.2312,USD,USD,USD
evadav-sv,PG,0.0598,0.1300,18099,-0.0702,-54.00,0.0480,-1.2705,USD,USD,USD
evadav-rss,BN,0.0510,0.1300,16099,-0.0790,-60.77,0.0930,-1.2718,USD,USD,USD
sv,GN,0.1300,0.1700,31914,-0.0400,-23.53,1.1300,-1.2766,USD,USD,USD
nsd,MT,0.0500,0.1200,18625,-0.0700,-58.33,0.6100,-1.3038,USD,USD,USD
evadav-sv,MT,0.0466,0.1200,18625,-0.0734,-61.17,0.1300,-1.3671,USD,USD,USD
sv2,TT,0.0300,0.0800,27989,-0.0500,-62.50,1.1900,-1.3995,USD,USD,USD
sv2,RE,0.1300,0.2000,21191,-0.0700,-35.00,0.8700,-1.4834,USD,USD,USD
sv,RE,0.1300,0.2000,21191,-0.0700,-35.00,0.0900,-1.4834,USD,USD,USD
evadav-sv,TT,0.0262,0.0800,27989,-0.0538,-67.25,0.0190,-1.5058,USD,USD,USD
sv,CY,0.2000,0.2300,50364,-0.0300,-13.04,1.1400,-1.5109,USD,USD,USD
sv2,GT,0.0700,0.0900,76160,-0.0200,-22.22,3.2200,-1.5232,USD,USD,USD
sv,GT,0.0700,0.0900,76160,-0.0200,-22.22,0.6500,-1.5232,USD,USD,USD
evadav-rss,MU,0.0604,0.1200,26254,-0.0596,-49.67,0.0160,-1.5647,USD,USD,USD
evadav-rss,DO,0.0620,0.0700,195716,-0.0080,-11.43,0.1060,-1.5657,USD,USD,USD
nsd,MU,0.0600,0.1200,26254,-0.0600,-50.00,0.2400,-1.5752,USD,USD,USD
sv2,MU,0.0600,0.1200,26254,-0.0600,-50.00,0.8600,-1.5752,USD,USD,USD
evadav-sv,BN,0.0298,0.1300,16099,-0.1002,-77.08,0.0050,-1.6131,USD,USD,USD
nsd,ZW,0.2800,0.4500,9573,-0.1700,-37.78,0.6400,-1.6274,USD,USD,USD
sv,HN,0.1000,0.1200,93916,-0.0200,-16.67,1.2000,-1.8783,USD,USD,USD
sv,LA,0.0800,0.1000,94341,-0.0200,-20.00,2.5500,-1.8868,USD,USD,USD
evadav-rss,PR,0.1299,0.2100,24060,-0.0801,-38.14,0.1670,-1.9272,USD,USD,USD
sv2,CG,0.1400,0.1800,49827,-0.0400,-22.22,2.0800,-1.9931,USD,USD,USD
evadav-rss,GT,0.0633,0.0900,76160,-0.0267,-29.67,0.3020,-2.0335,USD,USD,USD
sv2,SV,0.0700,0.1000,68300,-0.0300,-30.00,1.1200,-2.0490,USD,USD,USD
evadav-sv,MU,0.0365,0.1200,26254,-0.0835,-69.58,0.0230,-2.1922,USD,USD,USD
evadav-rss,ZW,0.2125,0.4500,9573,-0.2375,-52.78,0.0850,-2.2736,USD,USD,USD
nsd,AF,0.0700,0.1300,37999,-0.0600,-46.15,0.6300,-2.2799,USD,USD,USD
sv2,AF,0.0700,0.1300,37999,-0.0600,-46.15,1.1400,-2.2799,USD,USD,USD
sv,AF,0.0700,0.1300,37999,-0.0600,-46.15,0.1500,-2.2799,USD,USD,USD
nsd,GT,0.0600,0.0900,76160,-0.0300,-33.33,0.7700,-2.2848,USD,USD,USD
nsd,MW,0.3100,0.4500,16652,-0.1400,-31.11,0.5700,-2.3313,USD,USD,USD
sv2,JM,0.0400,0.0700,77907,-0.0300,-42.86,1.7000,-2.3372,USD,USD,USD
sv2,SN,0.0700,0.0800,234533,-0.0100,-12.50,4.5900,-2.3453,USD,USD,USD
evadav-rss,SV,0.0653,0.1000,68300,-0.0347,-34.70,0.0560,-2.3700,USD,USD,USD
evadav-rss,YE,0.0455,0.0900,53614,-0.0445,-49.44,0.0480,-2.3858,USD,USD,USD
evadav-rss,AF,0.0657,0.1300,37999,-0.0643,-49.46,0.0090,-2.4433,USD,USD,USD
sv2,MN,0.3500,0.3600,250109,-0.0100,-2.78,29.0700,-2.5011,USD,USD,USD
evadav-rss,AM,0.0638,0.1000,71712,-0.0362,-36.20,0.0440,-2.5960,USD,USD,USD
nsd,UG,0.1300,0.1500,133156,-0.0200,-13.33,8.2500,-2.6631,USD,USD,USD
sv2,YE,0.0400,0.0900,53614,-0.0500,-55.56,2.3200,-2.6807,USD,USD,USD
evadav-rss,MW,0.2881,0.4500,16652,-0.1619,-35.98,0.1930,-2.6960,USD,USD,USD
sv2,SD,0.0700,0.0900,135699,-0.0200,-22.22,5.3200,-2.7140,USD,USD,USD
sv,SV,0.0600,0.1000,68300,-0.0400,-40.00,0.2900,-2.7320,USD,USD,USD
sv2,HR,0.1600,0.2100,55243,-0.0500,-23.81,5.3400,-2.7622,USD,USD,USD
evadav-sv,GB,0.1292,0.1300,3511871,-0.0008,-0.62,3.5720,-2.8095,USD,USD,USD
evadav-sv,NI,0.0289,0.0700,69180,-0.0411,-58.71,0.0360,-2.8433,USD,USD,USD
sv2,LU,0.1300,0.2100,35963,-0.0800,-38.10,1.2100,-2.8770,USD,USD,USD
sv,DJ,3.0300,3.2200,16176,-0.1900,-5.90,4.3200,-3.0734,USD,USD,USD
sv,PR,0.0800,0.2100,24060,-0.1300,-61.90,0.2700,-3.1278,USD,USD,USD
evadav-sv,RE,0.0505,0.2000,21191,-0.1495,-74.75,0.0230,-3.1681,USD,USD,USD
evadav-sv,GN,0.0693,0.1700,31914,-0.1007,-59.24,0.3910,-3.2137,USD,USD,USD
evadav-sv,AM,0.0539,0.1000,71712,-0.0461,-46.10,0.1890,-3.3059,USD,USD,USD
evadav-sv,JM,0.0271,0.0700,77907,-0.0429,-61.29,0.0480,-3.3422,USD,USD,USD
sv2,PR,0.0700,0.2100,24060,-0.1400,-66.67,1.9200,-3.3684,USD,USD,USD
nsd,SV,0.0500,0.1000,68300,-0.0500,-50.00,0.3900,-3.4150,USD,USD,USD
nsd,CG,0.1100,0.1800,49827,-0.0700,-38.89,0.7800,-3.4879,USD,USD,USD
sv2,CY,0.1600,0.2300,50364,-0.0700,-30.43,3.6600,-3.5255,USD,USD,USD
nsd,MD,0.0600,0.0900,118843,-0.0300,-33.33,0.1600,-3.5653,USD,USD,USD
evadav-sv,ZW,0.0762,0.4500,9573,-0.3738,-83.07,0.0640,-3.5784,USD,USD,USD
nsd,AM,0.0500,0.1000,71712,-0.0500,-50.00,0.4300,-3.5856,USD,USD,USD
sv2,AM,0.0500,0.1000,71712,-0.0500,-50.00,0.3600,-3.5856,USD,USD,USD
evadav-sv,YE,0.0202,0.0900,53614,-0.0698,-77.56,0.0290,-3.7423,USD,USD,USD
sv2,HN,0.0800,0.1200,93916,-0.0400,-33.33,1.9100,-3.7566,USD,USD,USD
sv,GR,0.2100,0.2200,377795,-0.0100,-4.55,1.8600,-3.7780,USD,USD,USD
nsd,GN,0.0500,0.1700,31914,-0.1200,-70.59,1.0700,-3.8297,USD,USD,USD
nsd,PR,0.0500,0.2100,24060,-0.1600,-76.19,0.4400,-3.8496,USD,USD,USD
evadav-sv,AF,0.0267,0.1300,37999,-0.1033,-79.46,0.0690,-3.9253,USD,USD,USD
sv,CF,0.5800,3.0200,1609,-2.4400,-80.79,0.1500,-3.9260,USD,USD,USD
evadav-rss,PL,0.2363,0.2400,1069025,-0.0037,-1.54,0.9450,-3.9554,USD,USD,USD
nsd,LU,0.1000,0.2100,35963,-0.1100,-52.38,0.4700,-3.9559,USD,USD,USD
evadav-sv,AL,0.0360,0.0700,117744,-0.0340,-48.57,0.0480,-4.0033,USD,USD,USD
evadav-sv,PR,0.0431,0.2100,24060,-0.1669,-79.48,0.0720,-4.0156,USD,USD,USD
nsd,SD,0.0600,0.0900,135699,-0.0300,-33.33,4.6800,-4.0710,USD,USD,USD
evadav-rss,ZM,0.3133,0.4000,47126,-0.0867,-21.68,0.9060,-4.0858,USD,USD,USD
sv2,TJ,0.1300,0.1700,105919,-0.0400,-23.53,2.4600,-4.2368,USD,USD,USD
nsd,TG,0.0400,0.0600,217233,-0.0200,-33.33,0.2800,-4.3447,USD,USD,USD
nsd,HR,0.1300,0.2100,55243,-0.0800,-38.10,0.9600,-4.4194,USD,USD,USD
evadav-rss,LU,0.0855,0.2100,35963,-0.1245,-59.29,0.0300,-4.4774,USD,USD,USD
nsd,BE,0.1900,0.2000,451606,-0.0100,-5.00,2.3300,-4.5161,USD,USD,USD
evadav-rss,CF,0.2105,3.0200,1609,-2.8095,-93.03,0.0040,-4.5205,USD,USD,USD
evadav-sv,CG,0.0884,0.1800,49827,-0.0916,-50.89,0.2570,-4.5642,USD,USD,USD
evadav-sv,GT,0.0298,0.0900,76160,-0.0602,-66.89,0.2010,-4.5848,USD,USD,USD
nsd,CF,0.1600,3.0200,1609,-2.8600,-94.70,0.0600,-4.6017,USD,USD,USD
sv2,CF,0.1600,3.0200,1609,-2.8600,-94.70,0.1000,-4.6017,USD,USD,USD
sv,SN,0.0600,0.0800,234533,-0.0200,-25.00,2.1300,-4.6907,USD,USD,USD
nsd,HN,0.0700,0.1200,93916,-0.0500,-41.67,0.9800,-4.6958,USD,USD,USD
evadav-sv,CF,0.0962,3.0200,1609,-2.9238,-96.81,0.0100,-4.7044,USD,USD,USD
evadav-sv,HT,0.0486,0.1100,78660,-0.0614,-55.82,0.6670,-4.8297,USD,USD,USD
evadav-sv,BA,0.0535,0.1200,72763,-0.0665,-55.42,0.0890,-4.8387,USD,USD,USD
evadav-rss,TJ,0.1239,0.1700,105919,-0.0461,-27.12,0.2610,-4.8829,USD,USD,USD
evadav-sv,DO,0.0448,0.0700,195716,-0.0252,-36.00,0.1850,-4.9320,USD,USD,USD
evadav-rss,LA,0.0471,0.1000,94341,-0.0529,-52.90,0.5630,-4.9906,USD,USD,USD
nsd,LY,0.0600,0.0800,251735,-0.0200,-25.00,8.9400,-5.0347,USD,USD,USD
sv2,LY,0.0600,0.0800,251735,-0.0200,-25.00,17.5300,-5.0347,USD,USD,USD
nsd,CY,0.1300,0.2300,50364,-0.1000,-43.48,2.1700,-5.0364,USD,USD,USD
evadav-sv,LU,0.0691,0.2100,35963,-0.1409,-67.10,0.0540,-5.0672,USD,USD,USD
evadav-sv,SV,0.0254,0.1000,68300,-0.0746,-74.60,0.0840,-5.0952,USD,USD,USD
evadav-rss,SN,0.0581,0.0800,234533,-0.0219,-27.38,0.7740,-5.1363,USD,USD,USD
evadav-sv,MD,0.0460,0.0900,118843,-0.0440,-48.89,0.0420,-5.2291,USD,USD,USD
sv,SD,0.0500,0.0900,135699,-0.0400,-44.44,1.6200,-5.4280,USD,USD,USD
evadav-rss,LB,0.0822,0.1200,144241,-0.0378,-31.50,0.1980,-5.4523,USD,USD,USD
evadav-rss,UY,0.0549,0.0700,368708,-0.0151,-21.57,0.0180,-5.5675,USD,USD,USD
sv2,IE,0.2500,0.2700,279296,-0.0200,-7.41,9.6100,-5.5859,USD,USD,USD
evadav-rss,HN,0.0573,0.1200,93916,-0.0627,-52.25,0.1610,-5.8885,USD,USD,USD
evadav-sv,BH,0.0433,0.0800,160882,-0.0367,-45.88,0.0720,-5.9044,USD,USD,USD
nsd,CH,0.3400,0.3600,313514,-0.0200,-5.56,7.3100,-6.2703,USD,USD,USD
nsd,TJ,0.1100,0.1700,105919,-0.0600,-35.29,3.3200,-6.3551,USD,USD,USD
evadav-sv,TG,0.0303,0.0600,217233,-0.0297,-49.50,0.1040,-6.4518,USD,USD,USD
sv,MR,1.2000,1.4300,28785,-0.2300,-16.08,2.7500,-6.6206,USD,USD,USD
sv2,PS,0.0400,0.0700,221925,-0.0300,-42.86,2.4700,-6.6577,USD,USD,USD
evadav-sv,BY,0.0918,0.1100,370542,-0.0182,-16.55,0.1600,-6.7439,USD,USD,USD
evadav-sv,LA,0.0280,0.1000,94341,-0.0720,-72.00,0.6390,-6.7926,USD,USD,USD
evadav-sv,QA,0.0439,0.1200,89475,-0.0761,-63.42,0.2120,-6.8090,USD,USD,USD
evadav-sv,MW,0.0395,0.4500,16652,-0.4105,-91.22,0.0190,-6.8356,USD,USD,USD
nsd,IL,0.1700,0.1900,347177,-0.0200,-10.53,5.3900,-6.9435,USD,USD,USD
nsd,SN,0.0500,0.0800,234533,-0.0300,-37.50,3.4400,-7.0360,USD,USD,USD
evadav-rss,HR,0.0822,0.2100,55243,-0.1278,-60.86,0.0840,-7.0601,USD,USD,USD
evadav-rss,SD,0.0372,0.0900,135699,-0.0528,-58.67,0.3630,-7.1649,USD,USD,USD
evadav-sv,OM,0.0430,0.0700,271574,-0.0270,-38.57,0.0960,-7.3325,USD,USD,USD
nsd,BY,0.0900,0.1100,370542,-0.0200,-18.18,0.4400,-7.4108,USD,USD,USD
evadav-sv,BF,0.0599,0.0900,268332,-0.0301,-33.44,0.1360,-8.0768,USD,USD,USD
evadav-sv,HR,0.0613,0.2100,55243,-0.1487,-70.81,0.1130,-8.2146,USD,USD,USD
evadav-sv,SD,0.0281,0.0900,135699,-0.0619,-68.78,0.5120,-8.3998,USD,USD,USD
evadav-sv,HN,0.0302,0.1200,93916,-0.0898,-74.83,0.2270,-8.4337,USD,USD,USD
evadav-sv,ML,0.0356,0.0900,158595,-0.0544,-60.44,0.7370,-8.6276,USD,USD,USD
evadav-rss,CY,0.0584,0.2300,50364,-0.1716,-74.61,0.1000,-8.6425,USD,USD,USD
nsd,SK,0.2200,0.3200,88086,-0.1000,-31.25,0.7900,-8.8086,USD,USD,USD
evadav-sv,TJ,0.0826,0.1700,105919,-0.0874,-51.41,1.4710,-9.2573,USD,USD,USD
evadav-sv,BJ,0.1150,0.2900,53261,-0.1750,-60.34,0.1090,-9.3207,USD,USD,USD
evadav-rss,LY,0.0427,0.0800,251735,-0.0373,-46.62,0.6590,-9.3897,USD,USD,USD
evadav-sv,CY,0.0428,0.2300,50364,-0.1872,-81.39,0.2700,-9.4281,USD,USD,USD
evadav-sv,PY,0.0262,0.0600,308284,-0.0338,-56.33,0.0150,-10.4200,USD,USD,USD
sv,LT,0.3300,0.4200,117434,-0.0900,-21.43,0.4500,-10.5691,USD,USD,USD
evadav-sv,RS,0.0582,0.1300,154364,-0.0718,-55.23,0.2130,-11.0833,USD,USD,USD
evadav-sv,ZM,0.1646,0.4000,47126,-0.2354,-58.85,0.6110,-11.0935,USD,USD,USD
evadav-rss,UG,0.0660,0.1500,133156,-0.0840,-56.00,0.4640,-11.1851,USD,USD,USD
evadav-rss,SK,0.1909,0.3200,88086,-0.1291,-40.34,0.0670,-11.3719,USD,USD,USD
evadav-sv,SO,0.2683,0.4200,76131,-0.1517,-36.12,2.0100,-11.5491,USD,USD,USD
evadav-sv,PS,0.0171,0.0700,221925,-0.0529,-75.57,0.0310,-11.7398,USD,USD,USD
evadav-rss,UZ,0.1546,0.1700,786975,-0.0154,-9.06,0.6340,-12.1194,USD,USD,USD
evadav-sv,KW,0.0301,0.1100,152395,-0.0799,-72.64,0.6880,-12.1764,USD,USD,USD
evadav-rss,SE,0.1545,0.1800,479781,-0.0255,-14.17,0.1740,-12.2344,USD,USD,USD
evadav-sv,UY,0.0351,0.0700,368708,-0.0349,-49.86,0.0130,-12.8679,USD,USD,USD
evadav-rss,RO,0.1796,0.2200,318615,-0.0404,-18.36,1.6650,-12.8720,USD,USD,USD
sv2,IR,0.1800,0.2600,161595,-0.0800,-30.77,3.0500,-12.9276,USD,USD,USD
sv,NZ,0.4200,0.5100,144323,-0.0900,-17.65,1.2700,-12.9891,USD,USD,USD
evadav-sv,LB,0.0279,0.1200,144241,-0.0921,-76.75,0.1260,-13.2846,USD,USD,USD
nsd,PA,0.1400,0.1800,337387,-0.0400,-22.22,0.7200,-13.4955,USD,USD,USD
sv,IL,0.1500,0.1900,347177,-0.0400,-21.05,1.3100,-13.8871,USD,USD,USD
evadav-sv,SN,0.0201,0.0800,234533,-0.0599,-74.88,0.6960,-14.0485,USD,USD,USD
sv2,SK,0.1600,0.3200,88086,-0.1600,-50.00,2.4900,-14.0938,USD,USD,USD
sv,FI,0.3600,0.4400,178913,-0.0800,-18.18,2.0100,-14.3130,USD,USD,USD
evadav-sv,TN,0.0388,0.0700,463164,-0.0312,-44.57,0.1130,-14.4507,USD,USD,USD
evadav-sv,LY,0.0213,0.0800,251735,-0.0587,-73.38,0.6530,-14.7768,USD,USD,USD
sv2,BY,0.0700,0.1100,370542,-0.0400,-36.36,0.9500,-14.8217,USD,USD,USD
sv,SK,0.1500,0.3200,88086,-0.1700,-53.12,0.1900,-14.9746,USD,USD,USD
evadav-sv,PT,0.0679,0.1000,483641,-0.0321,-32.10,0.5520,-15.5249,USD,USD,USD
evadav-sv,AO,0.0308,0.0800,318255,-0.0492,-61.50,0.1250,-15.6581,USD,USD,USD
nsd,AT,0.2600,0.3000,393356,-0.0400,-13.33,6.5800,-15.7342,USD,USD,USD
evadav-rss,GH,0.0620,0.1500,178912,-0.0880,-58.67,1.5030,-15.7443,USD,USD,USD
evadav-sv,UG,0.0309,0.1500,133156,-0.1191,-79.40,0.8600,-15.8589,USD,USD,USD
sv2,FI,0.3500,0.4400,178913,-0.0900,-20.45,10.9300,-16.1022,USD,USD,USD
nsd,CR,0.1400,0.2100,244927,-0.0700,-33.33,0.5200,-17.1449,USD,USD,USD
sv2,CR,0.1400,0.2100,244927,-0.0700,-33.33,2.0900,-17.1449,USD,USD,USD
evadav-sv,SA,0.0609,0.0800,910660,-0.0191,-23.88,0.5810,-17.3936,USD,USD,USD
evadav-rss,GE,0.0887,0.1600,264628,-0.0713,-44.56,0.1070,-18.8680,USD,USD,USD
nsd,RO,0.1600,0.2200,318615,-0.0600,-27.27,16.2500,-19.1169,USD,USD,USD
nsd,IR,0.1400,0.2600,161595,-0.1200,-46.15,1.4100,-19.3914,USD,USD,USD
nsd,EE,0.4800,0.7200,82711,-0.2400,-33.33,1.1400,-19.8506,USD,USD,USD
evadav-rss,CM,0.2542,0.4800,89293,-0.2258,-47.04,0.5500,-20.1624,USD,USD,USD
sv,SY,0.0800,0.1400,340182,-0.0600,-42.86,3.3300,-20.4109,USD,USD,USD
sv,IR,0.1300,0.2600,161595,-0.1300,-50.00,0.9000,-21.0073,USD,USD,USD
evadav-sv,GH,0.0320,0.1500,178912,-0.1180,-78.67,2.9220,-21.1116,USD,USD,USD
sv,CZ,0.2900,0.3500,352466,-0.0600,-17.14,1.8000,-21.1480,USD,USD,USD
evadav-rss,NG,0.1184,0.1600,513885,-0.0416,-26.00,4.8620,-21.3776,USD,USD,USD
evadav-rss,CD,0.0941,0.2900,109467,-0.1959,-67.55,0.5580,-21.4446,USD,USD,USD
evadav-sv,SK,0.0740,0.3200,88086,-0.2460,-76.88,0.0410,-21.6692,USD,USD,USD
evadav-sv,NP,0.0756,0.1000,915851,-0.0244,-24.40,4.4840,-22.3468,USD,USD,USD
evadav-rss,MR,0.6480,1.4300,28785,-0.7820,-54.69,0.5100,-22.5099,USD,USD,USD
evadav-rss,BE,0.1496,0.2000,451606,-0.0504,-25.20,0.2440,-22.7609,USD,USD,USD
sv,CM,0.2200,0.4800,89293,-0.2600,-54.17,1.5200,-23.2162,USD,USD,USD
evadav-rss,HK,0.3448,0.4100,356751,-0.0652,-15.90,2.4050,-23.2602,USD,USD,USD
evadav-rss,VE,0.0727,0.1100,623975,-0.0373,-33.91,0.7700,-23.2743,USD,USD,USD
nsd,UZ,0.1400,0.1700,786975,-0.0300,-17.65,4.5000,-23.6092,USD,USD,USD
sv2,SY,0.0700,0.1400,340182,-0.0700,-50.00,5.2600,-23.8127,USD,USD,USD
sv2,SE,0.1300,0.1800,479781,-0.0500,-27.78,13.9700,-23.9891,USD,USD,USD
evadav-rss,CO,0.0536,0.0800,909532,-0.0264,-33.00,0.6760,-24.0116,USD,USD,USD
evadav-sv,CN,0.1478,0.1600,1997038,-0.0122,-7.63,0.0860,-24.3639,USD,USD,USD
nsd,PE,0.2600,0.3000,615056,-0.0400,-13.33,2.6300,-24.6022,USD,USD,USD
sv,HU,0.2700,0.3800,226006,-0.1100,-28.95,1.6800,-24.8607,USD,USD,USD
nsd,KH,0.1100,0.2000,278917,-0.0900,-45.00,22.2100,-25.1025,USD,USD,USD
sv2,MR,0.5200,1.4300,28785,-0.9100,-63.64,5.6500,-26.1944,USD,USD,USD
sv2,BG,0.2500,0.3000,525158,-0.0500,-16.67,15.7500,-26.2579,USD,USD,USD
nsd,LT,0.1900,0.4200,117434,-0.2300,-54.76,0.6700,-27.0098,USD,USD,USD
sv2,LT,0.1900,0.4200,117434,-0.2300,-54.76,1.8300,-27.0098,USD,USD,USD
evadav-sv,TZ,0.0977,0.1400,654415,-0.0423,-30.21,0.3840,-27.6818,USD,USD,USD
evadav-rss,CH,0.2709,0.3600,313514,-0.0891,-24.75,0.3830,-27.9341,USD,USD,USD
evadav-sv,CD,0.0346,0.2900,109467,-0.2554,-88.07,0.4130,-27.9579,USD,USD,USD
evadav-sv,CM,0.1654,0.4800,89293,-0.3146,-65.54,1.7230,-28.0916,USD,USD,USD
sv,SI,0.3800,0.7300,80272,-0.3500,-47.95,0.6100,-28.0952,USD,USD,USD
sv2,CZ,0.2700,0.3500,352466,-0.0800,-22.86,9.8000,-28.1973,USD,USD,USD
evadav-rss,FI,0.2805,0.4400,178913,-0.1595,-36.25,0.5510,-28.5366,USD,USD,USD
sv2,RO,0.1300,0.2200,318615,-0.0900,-40.91,18.2500,-28.6753,USD,USD,USD
evadav-rss,IR,0.0825,0.2600,161595,-0.1775,-68.27,0.0250,-28.6831,USD,USD,USD
nsd,KZ,0.1600,0.1900,962519,-0.0300,-15.79,8.0300,-28.8756,USD,USD,USD
sv,KZ,0.1600,0.1900,962519,-0.0300,-15.79,2.5200,-28.8756,USD,USD,USD
nsd,MR,0.4200,1.4300,28785,-1.0100,-70.63,1.7300,-29.0729,USD,USD,USD
evadav-rss,LT,0.1630,0.4200,117434,-0.2570,-61.19,0.0600,-30.1805,USD,USD,USD
evadav-sv,AE,0.0661,0.1100,692603,-0.0439,-39.91,0.1180,-30.4053,USD,USD,USD
nsd,SY,0.0500,0.1400,340182,-0.0900,-64.29,4.1500,-30.6164,USD,USD,USD
evadav-sv,SE,0.1151,0.1800,479781,-0.0649,-36.06,0.3150,-31.1378,USD,USD,USD
nsd,CM,0.1300,0.4800,89293,-0.3500,-72.92,2.2800,-31.2526,USD,USD,USD
sv2,CM,0.1300,0.4800,89293,-0.3500,-72.92,1.5100,-31.2526,USD,USD,USD
evadav-sv,GE,0.0395,0.1600,264628,-0.1205,-75.31,0.2570,-31.8877,USD,USD,USD
sv2,LV,0.6200,0.8900,118685,-0.2700,-30.34,3.4000,-32.0449,USD,USD,USD
evadav-sv,KG,0.0943,0.1700,435387,-0.0757,-44.53,4.6500,-32.9588,USD,USD,USD
sv2,MZ,0.7300,1.0000,125538,-0.2700,-27.00,2.9800,-33.8953,USD,USD,USD
sv,MM,1.2000,1.5700,93066,-0.3700,-23.57,5.6800,-34.4344,USD,USD,USD
nsd,DJ,1.0900,3.2200,16176,-2.1300,-66.15,1.5200,-34.4549,USD,USD,USD
evadav-sv,LT,0.1264,0.4200,117434,-0.2936,-69.90,0.2110,-34.4786,USD,USD,USD
nsd,SI,0.3000,0.7300,80272,-0.4300,-58.90,1.1000,-34.5170,USD,USD,USD
sv2,DJ,1.0800,3.2200,16176,-2.1400,-66.46,1.4300,-34.6166,USD,USD,USD
evadav-sv,IR,0.0444,0.2600,161595,-0.2156,-82.92,0.0280,-34.8399,USD,USD,USD
sv,EE,0.2900,0.7200,82711,-0.4300,-59.72,0.3300,-35.5657,USD,USD,USD
sv2,HK,0.3100,0.4100,356751,-0.1000,-24.39,10.3400,-35.6751,USD,USD,USD
evadav-rss,GR,0.1234,0.2200,377795,-0.0966,-43.91,0.4630,-36.4950,USD,USD,USD
evadav-rss,SY,0.0317,0.1400,340182,-0.1083,-77.36,1.0510,-36.8417,USD,USD,USD
evadav-rss,KH,0.0673,0.2000,278917,-0.1327,-66.35,1.2690,-37.0123,USD,USD,USD
evadav-sv,MR,0.1368,1.4300,28785,-1.2932,-90.43,0.2020,-37.2248,USD,USD,USD
evadav-rss,CA,0.2248,0.2400,2464723,-0.0152,-6.33,1.0590,-37.4638,USD,USD,USD
sv2,NZ,0.2500,0.5100,144323,-0.2600,-50.98,4.5000,-37.5240,USD,USD,USD
sv2,NL,0.2800,0.3000,1877158,-0.0200,-6.67,49.4400,-37.5432,USD,USD,USD
sv2,EE,0.2600,0.7200,82711,-0.4600,-63.89,3.3900,-38.0471,USD,USD,USD
sv2,HU,0.2100,0.3800,226006,-0.1700,-44.74,10.0300,-38.4210,USD,USD,USD
sv2,KZ,0.1500,0.1900,962519,-0.0400,-21.05,4.2600,-38.5008,USD,USD,USD
evadav-sv,PK,0.0317,0.0500,2127156,-0.0183,-36.60,1.4230,-38.9270,USD,USD,USD
nsd,NZ,0.2400,0.5100,144323,-0.2700,-52.94,2.1700,-38.9672,USD,USD,USD
nsd,HK,0.3000,0.4100,356751,-0.1100,-26.83,2.8500,-39.2426,USD,USD,USD
nsd,FI,0.2200,0.4400,178913,-0.2200,-50.00,4.2500,-39.3609,USD,USD,USD
evadav-sv,PA,0.0627,0.1800,337387,-0.1173,-65.17,0.1380,-39.5755,USD,USD,USD
evadav-sv,SY,0.0227,0.1400,340182,-0.1173,-83.79,0.9200,-39.9033,USD,USD,USD
nsd,LK,0.2300,0.3000,573663,-0.0700,-23.33,58.0900,-40.1564,USD,USD,USD
evadav-sv,CR,0.0406,0.2100,244927,-0.1694,-80.67,0.0160,-41.4906,USD,USD,USD
sv2,SI,0.2100,0.7300,80272,-0.5200,-71.23,2.0200,-41.7414,USD,USD,USD
evadav-sv,TW,0.0539,0.1400,485743,-0.0861,-61.50,6.9910,-41.8225,USD,USD,USD
evadav-rss,AR,0.1235,0.1400,2543794,-0.0165,-11.79,0.4800,-41.9726,USD,USD,USD
evadav-rss,DJ,0.5926,3.2200,16176,-2.6274,-81.60,0.1280,-42.5008,USD,USD,USD
nsd,LV,0.5300,0.8900,118685,-0.3600,-40.45,1.1300,-42.7266,USD,USD,USD
evadav-sv,ZA,0.0639,0.1000,1191445,-0.0361,-36.10,0.4870,-43.0112,USD,USD,USD
evadav-sv,KH,0.0363,0.2000,278917,-0.1637,-81.85,4.1560,-45.6587,USD,USD,USD
evadav-sv,JO,0.0722,0.1400,675016,-0.0678,-48.43,1.5160,-45.7661,USD,USD,USD
evadav-sv,DJ,0.3321,3.2200,16176,-2.8879,-89.69,0.1750,-46.7147,USD,USD,USD
evadav-rss,MZ,0.6256,1.0000,125538,-0.3744,-37.44,0.3760,-47.0014,USD,USD,USD
evadav-rss,SI,0.1430,0.7300,80272,-0.5870,-80.41,0.1090,-47.1197,USD,USD,USD
evadav-rss,BG,0.2080,0.3000,525158,-0.0920,-30.67,0.8160,-48.3145,USD,USD,USD
nsd,CL,0.2300,0.2500,2424917,-0.0200,-8.00,4.1200,-48.4983,USD,USD,USD
evadav-sv,CO,0.0261,0.0800,909532,-0.0539,-67.38,0.2640,-49.0238,USD,USD,USD
evadav-sv,UZ,0.1075,0.1700,786975,-0.0625,-36.76,1.1270,-49.1859,USD,USD,USD
nsd,CZ,0.2100,0.3500,352466,-0.1400,-40.00,3.5900,-49.3452,USD,USD,USD
evadav-sv,RO,0.0647,0.2200,318615,-0.1553,-70.59,1.4090,-49.4809,USD,USD,USD
nsd,HU,0.1600,0.3800,226006,-0.2200,-57.89,2.3500,-49.7213,USD,USD,USD
evadav-sv,VE,0.0303,0.1100,623975,-0.0797,-72.45,0.0180,-49.7308,USD,USD,USD
nsd,MZ,0.6000,1.0000,125538,-0.4000,-40.00,1.2800,-50.2152,USD,USD,USD
