account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
evadav-rss,GP,0.1915,0.2200,5316,-0.0285,-12.95,0.0090,-0.1515,USD,USD,USD
nsd,TM,0.0300,0.1200,1709,-0.0900,-75.00,0.0000,-0.1538,USD,USD,USD
sv,TM,0.0300,0.1200,1709,-0.0900,-75.00,0.0000,-0.1538,USD,USD,USD
sv2,VG,0.0300,0.1300,1564,-0.1000,-76.92,0.0200,-0.1564,USD,USD,USD
sv2,BB,0.0800,0.1000,7945,-0.0200,-20.00,0.8300,-0.1589,USD,USD,USD
sv,BB,0.0800,0.1000,7945,-0.0200,-20.00,0.0400,-0.1589,USD,USD,USD
evadav-rss,KM,0.0622,0.1200,2756,-0.0578,-48.17,0.0150,-0.1593,USD,USD,USD
evadav-rss,SS,0.0633,0.1000,4370,-0.0367,-36.70,0.0290,-0.1604,USD,USD,USD
sv,BN,0.1200,0.1300,16099,-0.0100,-7.69,0.1400,-0.1610,USD,USD,USD
evadav-rss,VI,0.0556,0.1300,2267,-0.0744,-57.23,0.0020,-0.1687,USD,USD,USD
nsd,CU,0.0400,0.0500,16952,-0.0100,-20.00,0.1900,-0.1695,USD,USD,USD
sv2,CU,0.0400,0.0500,16952,-0.0100,-20.00,0.2500,-0.1695,USD,USD,USD
evadav-rss,BM,0.0526,0.1200,2520,-0.0674,-56.17,0.0010,-0.1698,USD,USD,USD
nsd,SL,0.0900,0.1200,5676,-0.0300,-25.00,0.3200,-0.1703,USD,USD,USD
nsd,VC,0.0500,0.1200,2474,-0.0700,-58.33,0.0100,-0.1732,USD,USD,USD
sv,GU,0.0700,0.1100,4343,-0.0400,-36.36,0.0300,-0.1737,USD,USD,USD
evadav-rss,JE,0.0526,0.1300,2281,-0.0774,-59.54,0.0020,-0.1765,USD,USD,USD
evadav-rss,VC,0.0476,0.1200,2474,-0.0724,-60.33,0.0020,-0.1791,USD,USD,USD
sv2,RW,0.1000,0.1100,17994,-0.0100,-9.09,1.4000,-0.1799,USD,USD,USD
nsd,SR,0.0400,0.0500,18021,-0.0100,-20.00,0.1400,-0.1802,USD,USD,USD
sv,VI,0.0500,0.1300,2267,-0.0800,-61.54,0.0100,-0.1814,USD,USD,USD
evadav-rss,KY,0.0476,0.1200,2505,-0.0724,-60.33,0.0010,-0.1814,USD,USD,USD
evadav-rss,SZ,0.0588,0.1200,3008,-0.0612,-51.00,0.0080,-0.1841,USD,USD,USD
evadav-rss,AW,0.0577,0.1200,2986,-0.0623,-51.92,0.0030,-0.1860,USD,USD,USD
sv,BS,0.0800,0.1000,9479,-0.0200,-20.00,0.0600,-0.1896,USD,USD,USD
sv,ZW,0.4300,0.4500,9573,-0.0200,-4.44,0.3600,-0.1915,USD,USD,USD
evadav-sv,SL,0.0858,0.1200,5676,-0.0342,-28.50,0.2550,-0.1941,USD,USD,USD
evadav-sv,BT,0.0787,0.1100,6285,-0.0313,-28.45,0.0440,-0.1967,USD,USD,USD
evadav-sv,SB,0.0398,0.1200,2469,-0.0802,-66.83,0.0180,-0.1980,USD,USD,USD
evadav-rss,GD,0.0500,0.1200,2893,-0.0700,-58.33,0.0040,-0.2025,USD,USD,USD
nsd,VI,0.0400,0.1300,2267,-0.0900,-69.23,0.0100,-0.2040,USD,USD,USD
sv,JE,0.0400,0.1300,2281,-0.0900,-69.23,0.0200,-0.2053,USD,USD,USD
nsd,CW,0.0400,0.1000,3436,-0.0600,-60.00,0.0200,-0.2062,USD,USD,USD
sv2,CW,0.0400,0.1000,3436,-0.0600,-60.00,0.0800,-0.2062,USD,USD,USD
evadav-sv,GF,0.0307,0.1300,2094,-0.0993,-76.38,0.0080,-0.2079,USD,USD,USD
evadav-rss,NE,0.0784,0.1000,9631,-0.0216,-21.60,0.0330,-0.2080,USD,USD,USD
nsd,NC,0.0800,0.1400,3469,-0.0600,-42.86,0.1100,-0.2081,USD,USD,USD
sv,FJ,0.0600,0.0900,7057,-0.0300,-33.33,0.1000,-0.2117,USD,USD,USD
